Top 100 Features by Category (After Feature Engineering)
============================================================

Feature Engineering Applied: Non-discriminative features removed
Max Features Limit: 3000

Category: economic
------------------------------
Documents in category: 2000

Rank   Feature                        Weight      
--------------------------------------------------
1      ប្រទេស                         0.10832306
2      សេដ្ឋកិច្ច                     0.10372572
3      ពាណិជ្ជកម្ម                    0.10276659
4      វិស័យ                          0.09488089
5      ក្រុមហ៊ុន                      0.08235274
6      វិនិយោគ                        0.07623606
7      ទីផ្សារ                        0.07540429
8      កសិកម្ម                        0.07237352
9      ក្រសួង                         0.06884354
10     រដ្ឋាភិបាល                     0.06745140
11     ធនាគារ                         0.06458405
12     ទំនិញ                          0.06167098
13     ហិរញ្ញវត្ថុ                    0.05419180
14     ផលិតផល                         0.05379828
15     កើនឡើង                         0.05365896
16     កំណើន                          0.05325545
17     ចំណូល                          0.04958617
18     គម្រោង                         0.04911343
19     ស្រូវ                          0.04892847
20     ទេសចរណ៍                        0.04810856
21     អគ្គ                           0.04682795
22     រោងចក្រ                        0.04598564
23     រាជ                            0.04341661
24     អន្តរជាតិ                      0.04293972
25     រៀល                            0.04277245
26     កសិករ                          0.04162692
27     ជំរុញ                          0.04140012
28     ប្រព័ន្ធ                       0.03805009
29     ភ្ញៀវ                          0.03731916
30     ភាគី                           0.03700277
31     តំបន់                          0.03688728
32     អភិវឌ្ឍន៍                      0.03604207
33     នាយក                           0.03542387
34     រដ្ឋមន្ត្រី                    0.03484139
35     លក់                            0.03464833
36     ទេសចរ                          0.03294349
37     ថ្លៃ                           0.03288177
38     ជាតិ                           0.03129737
39     អាជីវកម្ម                      0.03127634
40     ឡើងវិញ                         0.02883871
41     នយោបាយ                         0.02819446
42     ពលរដ្ឋ                         0.02743961
43     ប្រធាន                         0.02588090
44     សមាគម                          0.02537484
45     ហ៊ុន                           0.02534671
46     ពួកគាត់                        0.02469561
47     ប្រជាពលរដ្ឋ                    0.02408718
48     ពិភពលោក                        0.02350520
49     ផ្លូវ                          0.02318702
50     កូវីដ                          0.02311974
51     ដោយសារ                         0.02285676
